Comment,Comment
"In Reply to","In Reply to"
"Store view","Store view"
"Created at","Created at"
"Add New Comment","Add New Comment"
"Created At","Created At"
"Updated At","Updated At"
"Select Post","Select Post"
"Add Selected Post","Add Selected Post"
Author,Author
"Send Emails","Send Emails"
"Are you sure you want to send selected emails?","Are you sure you want to send selected emails?"
"Send Now","Send Now"
"Cancel Emails","Cancel Emails"
"Are you sure you want to cancel selected emails? Click 'OK' to proceed.","Are you sure you want to cancel selected emails? Click 'OK' to proceed."
"Recipient Name","Recipient Name"
"Recipient Email","Recipient Email"
"Type of the notification","Type of the notification"
"Scheduled For","Scheduled For"
"Sent At","Sent At"
"Send Email","Send Email"
"Are you sure you want to send email immediately?","Are you sure you want to send email immediately?"
"Cancel Email","Cancel Email"
"Are you sure you want to cancel email? Click 'OK' to proceed.","Are you sure you want to cancel email? Click 'OK' to proceed."
"File name","File name"
"Featured Image","Featured Image"
"Best parameters for sharing on Facebook and Twitter:</br>Minimum 600x315px, 1200x630px is recommended.</br>Maximum 4096x4096px, less than 5Mb.</br>Try to keep aspect ratio close to 2:1 to avoid image cropping.","Best parameters for sharing on Facebook and Twitter:</br>Minimum 600x315px, 1200x630px is recommended.</br>Maximum 4096x4096px, less than 5Mb.</br>Try to keep aspect ratio close to 2:1 to avoid image cropping."
"Mobile Image","Mobile Image"
"Image for screen width <= 768px, original used if not set","Image for screen width <= 768px, original used if not set"
"Alt Text","Alt Text"
"Image Link On The Full Content Page","Image Link On The Full Content Page"
"Short Content","Short Content"
Content,Content
Status:,Status:
"End at","End at"
"Author Badge","Author Badge"
"Display Author","Display Author"
"Use default from","Use default from"
"Category To Use In Canonical URL Tag","Category To Use In Canonical URL Tag"
"Separated by comma or new line character","Separated by comma or new line character"
"Allow Comments","Allow Comments"
"Featured Post","Featured Post"
"Twitter site account","Twitter site account"
@yoursiteontwitter,@yoursiteontwitter
"Enable post for customer groups","Enable post for customer groups"
"Activate Related Products","Activate Related Products"
"Create New Post","Create New Post"
"Blog by Aheadworks","Blog by Aheadworks"
"Manage Notification List","Manage Notification List"
"Subscribe to","Subscribe to"
Notifications,Notifications
"Post Comment","Post Comment"
"Disqus Comments","Disqus Comments"
"Blog search","Blog search"
"Related posts are auto-picked basing on tags. If no matching tags were found, the ""Recent posts"" block will be shown instead.","Related posts are auto-picked basing on tags. If no matching tags were found, the ""Recent posts"" block will be shown instead."
"Disallowed file type","Disallowed file type"
"Display Blog Posts in a grid view instead of a list view on the frontend.","Display Blog Posts in a grid view instead of a list view on the frontend."
"Search query min length","Search query min length"
"Search query max length","Search query max length"
"Post title weight","Post title weight"
"Post content weight","Post content weight"
"Post author weight","Post author weight"
"Post tags weight","Post tags weight"
"Post meta title weight","Post meta title weight"
"Post meta keywords weight","Post meta keywords weight"
"Post meta description weight","Post meta description weight"
"number 1-100","number 1-100"
"Display Mode","Display Mode"
Readme,Readme
"Get Support","Get Support"
"Your comment has been received.","Your comment has been received."
"Your reply has been received.","Your reply has been received."
"Please provide valid CSV file for import.","Please provide valid CSV file for import."
"Please select a file to import!","Please select a file to import!"
